rewards,Q-values,loss
14.0,0.4471142164298466,0.00022773116454897848
12.0,0.2437256375948588,0.00028328226774950355
17.0,0.24083650462767658,0.00020362053135827677
20.0,0.20016071796417237,0.00022976490145083518
14.0,0.43502843379974365,0.0002077310214839859
14.0,0.28086405992507935,0.00019090344721917063
10.0,0.5320556700229645,0.00022891949993208982
15.0,0.3174848516782125,0.00023133982200912822
14.0,0.44386449456214905,0.0002241223334879448
19.0,0.3160560036960401,0.00020036235180573146
15.0,0.4948398510615031,0.0002543705952120945
15.0,0.283795166015625,0.00014568607851591273
14.0,0.5050149261951447,0.00018188094665155013
12.0,0.5108815580606461,0.00018126503255189164
12.0,0.5958327651023865,0.0002489897124178242
14.0,0.23556593486240932,0.00024227671019616537
10.0,0.6451444387435913,0.00017960171244340016
12.0,0.2509302496910095,0.00014593092904154523
20.0,0.2469918191432953,0.000296177788550267
21.0,0.18570363521575928,0.0002579428643609087
11.0,0.5815571438182484,0.00029398794008143756
14.0,0.4438362419605255,0.00014316747443185056
13.0,0.368259255702679,0.0004172370978407204
15.0,0.3461433410644531,0.00020632409820488343
10.0,0.6433457016944886,0.00028204115878907034
17.0,0.36463310087428374,0.00030825693508685454
20.0,0.40823655724525454,0.0002575171331045567
12.0,0.31933098534742993,0.0003462155073066242
12.0,0.3440213402112325,0.00019003895552790104
14.0,0.45297281656946453,0.00016583956494287122
14.0,0.37166789174079895,0.00026345304701992845
13.0,0.24304774632820716,0.00020852127664301617
16.0,0.3187905251979828,0.0002234971639154537
12.0,0.2390820582707723,0.00034233029782626545
9.0,0.31407415204577976,0.0003951296772963057
12.0,0.5091064870357513,0.0003207607933291001
16.0,0.12139590829610825,0.00027281199481876683
12.0,0.4388289600610733,0.0002758327676322854
33.0,0.21522995016791605,0.00033942140693067233
11.0,0.4910169623114846,0.0002136352063230747
25.0,0.19829789400100709,0.0002320556364429649
12.0,0.31763678789138794,0.00020292783635037873
12.0,0.3572789827982585,0.000228030681682867
14.0,0.303873496396201,0.0002675159004346434
12.0,0.5443130731582642,0.00017819735512603074
14.0,0.21047762887818472,0.0001474588526824456
19.0,0.26467458197945043,0.00020164634464124806
25.0,0.30318292140960695,0.00020928409037878736
14.0,0.4476523058755057,0.00030482140001757737
28.0,0.25600590237549375,0.00023706648919739694
12.0,0.35632780690987903,0.00027544136840636685
17.0,0.4781447894432965,0.00028272990483160624
11.0,0.47761785984039307,0.0003698502306096171
14.0,0.35980166707720074,0.00022318981687671373
10.0,0.4125458598136902,0.00027572370527195744
8.0,0.40367209166288376,0.00030631567369709956
14.0,0.2278471759387425,0.0001677586746414558
10.0,0.6209544539451599,0.00021338572223612574
12.0,0.31825097401936847,0.00040018502750172047
11.0,0.5754091089422052,0.0002769705580166456
9.0,0.5883912841478983,0.00013683211242702478
12.0,0.17202856640021005,0.0001374916149264512
15.0,0.25421071449915567,0.00023079459848910724
12.0,0.6104469895362854,0.0003458453796459556
12.0,0.3552498171726863,0.0004438582703490586
14.0,0.27332086648259846,0.00039173088225652464
12.0,0.7032082229852676,0.0003162666689604521
16.0,0.2614189572632313,0.00022334428558679065
23.0,0.3453851860502492,0.0002771815330640453
14.0,0.4786131296839033,0.00029539294752924306
14.0,0.44839698501995634,0.00017344949537800858
12.0,0.3561999648809433,0.0001404413054236405
10.0,0.33059542179107665,0.00023296480212593452
8.0,0.7872213050723076,0.00032044267527453485
11.0,0.2718363350087946,0.0001795036243327724
22.0,0.37684509970925073,0.00028300016410040286
13.0,0.31365432189061093,0.0002630287269242287
18.0,0.34070224894417656,0.0002431206275004014
11.0,0.3744330189444802,0.00023417494296815923
13.0,0.546532942698552,0.00030691448773723096
17.0,0.17545342795989094,0.00025516420710653835
19.0,0.20685863494873047,0.00033357576830894686
13.0,0.5523419563586895,0.00032852714726826747
10.0,0.42928175926208495,0.00015518418440478853
14.0,0.4473285973072052,0.00034827041002115166
24.0,0.32614509016275406,0.00032240605984649545
11.0,0.47837580875916913,0.00015330521240354176
8.0,0.6381357759237289,0.0003457376515143551
11.0,0.19042453982613303,0.00019546766204505482
18.0,0.41031600038210553,0.0003489049894495919
20.0,0.2968327283859253,0.0002289299243784626
13.0,0.6383807934247531,0.00024240173325569442
12.0,0.6103896647691727,0.00025963526089374983
13.0,0.3814720603135916,0.00029480516660931666
14.0,0.36215398567063467,0.00037310907230546163
12.0,0.24414301415284476,0.00018175920134429666
17.0,0.4767513485515819,0.00023520595834056353
21.0,0.3714594897769746,0.0001815995761890441
23.0,0.3450212530467821,0.00014242965398411997
9.0,0.592724965678321,0.00014293098178718032
13.0,0.580328528697674,0.0002510272086230823
11.0,0.19207413630052048,0.0003532872711234218
11.0,0.2731273661960255,0.0002622254846342416
22.0,0.5023642480373383,0.00018665620832920965
19.0,0.3701952538992229,0.00020774458636496043
22.0,0.3678416311740875,0.00021706658613270108
11.0,0.6130859039046548,0.0002405121168439192
